id,prompt,model_x,model_y,winner,left,right
160,8,31,21,left,Falcon Instruct (40B),Vicuna-FastChat-T5 (3B)
161,8,21,85,right,Vicuna-FastChat-T5 (3B),Jurassic 2 Light
162,8,31,75,left,Falcon Instruct (40B),command
163,8,75,85,left,command,Jurassic 2 Light
164,8,75,98,right,command,Weaver 12k
165,8,31,79,left,Falcon Instruct (40B),command-nightly
166,8,85,79,right,Jurassic 2 Light,command-nightly
167,8,98,79,right,Weaver 12k,command-nightly
168,5,97,23,left,Airoboros L2 70B,Koala (13B)
169,5,23,29,right,Koala (13B),Alpaca (7B)
170,5,9,23,right,Dolly v2 (12B),Koala (13B)
171,5,7,23,right,Dolly v2 (3B),Koala (13B)
172,5,8,23,left,Dolly v2 (7B),Koala (13B)
173,5,23,4,right,Koala (13B),GPT-NeoXT-Chat-Base (20B)
174,5,23,33,right,Koala (13B),Guanaco (33B)
175,5,23,34,right,Koala (13B),Guanaco (65B)
176,5,97,14,left,Airoboros L2 70B,Open-Assistant Pythia SFT-4 (12B)
177,5,14,9,right,Open-Assistant Pythia SFT-4 (12B),Dolly v2 (12B)
178,5,14,7,right,Open-Assistant Pythia SFT-4 (12B),Dolly v2 (3B)
179,5,14,8,right,Open-Assistant Pythia SFT-4 (12B),Dolly v2 (7B)
180,5,4,14,left,GPT-NeoXT-Chat-Base (20B),Open-Assistant Pythia SFT-4 (12B)
181,5,33,14,left,Guanaco (33B),Open-Assistant Pythia SFT-4 (12B)
182,5,34,14,left,Guanaco (65B),Open-Assistant Pythia SFT-4 (12B)
183,5,14,17,right,Open-Assistant Pythia SFT-4 (12B),LLaMA-2-Chat (70B)
184,5,91,14,right,Luminous Base,Open-Assistant Pythia SFT-4 (12B)
185,5,90,14,left,Luminous Extended,Open-Assistant Pythia SFT-4 (12B)
186,5,14,92,right,Open-Assistant Pythia SFT-4 (12B),Luminous Extended Control
187,5,18,97,right,Code Llama Instruct (7B),Airoboros L2 70B
188,5,97,29,left,Airoboros L2 70B,Alpaca (7B)
189,5,5,97,right,Chronos Hermes (13B),Airoboros L2 70B
190,5,97,83,left,Airoboros L2 70B,Claude Instant v1
191,5,101,97,right,Claude v1,Airoboros L2 70B
192,5,97,100,left,Airoboros L2 70B,Claude v1.2
193,5,97,84,left,Airoboros L2 70B,Claude v2
194,5,19,97,right,Code Llama Instruct (13B),Airoboros L2 70B
195,5,20,97,right,Code Llama Instruct (34B),Airoboros L2 70B
196,5,97,31,left,Airoboros L2 70B,Falcon Instruct (40B)
197,5,97,30,left,Airoboros L2 70B,Falcon Instruct (7B)
198,5,97,81,left,Airoboros L2 70B,GPT 3.5 Turbo
199,5,97,82,left,Airoboros L2 70B,GPT 3.5 Turbo (16k)
200,5,80,97,right,GPT 4,Airoboros L2 70B
201,5,97,32,left,Airoboros L2 70B,Guanaco (13B)
202,5,85,97,right,Jurassic 2 Light,Airoboros L2 70B
203,5,86,97,right,Jurassic 2 Mid,Airoboros L2 70B
204,5,87,97,right,Jurassic 2 Ultra,Airoboros L2 70B
205,5,22,97,right,LLaMA 2 SFT v10 (70B),Airoboros L2 70B
206,5,97,16,left,Airoboros L2 70B,LLaMA-2-Chat (13B)
207,5,97,15,left,Airoboros L2 70B,LLaMA-2-Chat (7B)
208,5,97,93,left,Airoboros L2 70B,Luminous Base Control
209,5,89,97,right,Luminous Supreme Control,Airoboros L2 70B
210,5,89,7,left,Luminous Supreme Control,Dolly v2 (3B)
211,5,28,97,right,MPT-Chat (30B),Airoboros L2 70B
212,5,27,97,right,MPT-Chat (7B),Airoboros L2 70B
213,5,96,97,right,Mythalion 13B,Airoboros L2 70B
214,5,11,97,right,MythoMax-L2 (13B),Airoboros L2 70B
215,5,13,97,right,Open-Assistant StableLM SFT-7 (7B),Airoboros L2 70B
216,5,95,97,right,PaLM 2 Bison (Code Chat),Airoboros L2 70B
217,5,94,95,left,PaLM 2 Bison,PaLM 2 Bison (Code Chat)
218,5,97,10,left,Airoboros L2 70B,Platypus-2 Instruct (70B)
219,5,10,94,left,Platypus-2 Instruct (70B),PaLM 2 Bison
220,5,2,97,right,Pythia-Chat-Base (7B),Airoboros L2 70B
221,5,94,2,left,PaLM 2 Bison,Pythia-Chat-Base (7B)
222,5,97,6,left,Airoboros L2 70B,Qwen-Chat (7B)
223,5,6,94,right,Qwen-Chat (7B),PaLM 2 Bison
224,5,12,97,right,StarCoderChat Alpha (16B),Airoboros L2 70B
225,5,94,12,left,PaLM 2 Bison,StarCoderChat Alpha (16B)
226,5,97,25,left,Airoboros L2 70B,Vicuna v1.3 (13B)
227,5,25,94,left,Vicuna v1.3 (13B),PaLM 2 Bison
228,5,97,24,left,Airoboros L2 70B,Vicuna v1.3 (7B)
229,5,24,94,right,Vicuna v1.3 (7B),PaLM 2 Bison
230,5,97,26,left,Airoboros L2 70B,Vicuna v1.5 (13B)
231,5,26,94,right,Vicuna v1.5 (13B),PaLM 2 Bison
232,5,21,97,right,Vicuna-FastChat-T5 (3B),Airoboros L2 70B
233,5,94,21,left,PaLM 2 Bison,Vicuna-FastChat-T5 (3B)
234,5,98,29,left,Weaver 12k,Alpaca (7B)
235,5,98,5,left,Weaver 12k,Chronos Hermes (13B)
236,5,98,83,right,Weaver 12k,Claude Instant v1
237,5,98,101,right,Weaver 12k,Claude v1
238,5,100,98,left,Claude v1.2,Weaver 12k
239,5,84,98,left,Claude v2,Weaver 12k
240,5,19,98,right,Code Llama Instruct (13B),Weaver 12k
241,5,98,20,left,Weaver 12k,Code Llama Instruct (34B)
242,5,18,98,right,Code Llama Instruct (7B),Weaver 12k
243,5,9,98,right,Dolly v2 (12B),Weaver 12k
244,5,8,98,right,Dolly v2 (7B),Weaver 12k
245,5,31,98,right,Falcon Instruct (40B),Weaver 12k
246,5,98,30,left,Weaver 12k,Falcon Instruct (7B)
247,5,98,81,right,Weaver 12k,GPT 3.5 Turbo
248,5,82,98,left,GPT 3.5 Turbo (16k),Weaver 12k
249,5,80,98,left,GPT 4,Weaver 12k
250,5,98,4,left,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
251,5,98,32,left,Weaver 12k,Guanaco (13B)
252,5,98,33,left,Weaver 12k,Guanaco (33B)
253,5,34,98,left,Guanaco (65B),Weaver 12k
254,5,85,98,right,Jurassic 2 Light,Weaver 12k
255,5,86,98,right,Jurassic 2 Mid,Weaver 12k
256,5,87,98,right,Jurassic 2 Ultra,Weaver 12k
257,5,98,23,left,Weaver 12k,Koala (13B)
258,5,22,98,right,LLaMA 2 SFT v10 (70B),Weaver 12k
259,5,98,16,left,Weaver 12k,LLaMA-2-Chat (13B)
260,5,98,17,right,Weaver 12k,LLaMA-2-Chat (70B)
261,5,15,98,left,LLaMA-2-Chat (7B),Weaver 12k
262,5,98,91,left,Weaver 12k,Luminous Base
263,5,98,93,left,Weaver 12k,Luminous Base Control
264,5,90,98,right,Luminous Extended,Weaver 12k
265,5,92,98,right,Luminous Extended Control,Weaver 12k
266,5,88,98,right,Luminous Supreme,Weaver 12k
267,5,98,89,left,Weaver 12k,Luminous Supreme Control
268,5,28,98,left,MPT-Chat (30B),Weaver 12k
269,5,98,27,left,Weaver 12k,MPT-Chat (7B)
270,5,96,98,left,Mythalion 13B,Weaver 12k
271,5,98,11,left,Weaver 12k,MythoMax-L2 (13B)
272,5,98,14,left,Weaver 12k,Open-Assistant Pythia SFT-4 (12B)
273,5,13,98,right,Open-Assistant StableLM SFT-7 (7B),Weaver 12k
274,5,98,95,left,Weaver 12k,PaLM 2 Bison (Code Chat)
275,5,98,10,left,Weaver 12k,Platypus-2 Instruct (70B)
276,5,2,98,right,Pythia-Chat-Base (7B),Weaver 12k
277,5,6,98,right,Qwen-Chat (7B),Weaver 12k
278,5,99,98,left,ReMM SLERP L2 13B,Weaver 12k
279,5,1,98,right,RedPajama-INCITE Chat (3B),Weaver 12k
280,5,3,98,right,RedPajama-INCITE Chat (7B),Weaver 12k
281,5,98,12,left,Weaver 12k,StarCoderChat Alpha (16B)
282,5,98,25,left,Weaver 12k,Vicuna v1.3 (13B)
283,5,24,98,right,Vicuna v1.3 (7B),Weaver 12k
284,5,26,98,right,Vicuna v1.5 (13B),Weaver 12k
285,5,21,98,right,Vicuna-FastChat-T5 (3B),Weaver 12k
286,5,5,94,right,Chronos Hermes (13B),PaLM 2 Bison
287,5,94,83,right,PaLM 2 Bison,Claude Instant v1
288,5,101,94,left,Claude v1,PaLM 2 Bison
289,5,94,100,right,PaLM 2 Bison,Claude v1.2
290,5,84,94,left,Claude v2,PaLM 2 Bison
291,5,19,94,right,Code Llama Instruct (13B),PaLM 2 Bison
292,5,94,20,left,PaLM 2 Bison,Code Llama Instruct (34B)
293,5,18,94,right,Code Llama Instruct (7B),PaLM 2 Bison
294,5,31,94,right,Falcon Instruct (40B),PaLM 2 Bison
295,5,94,30,left,PaLM 2 Bison,Falcon Instruct (7B)
296,5,94,81,right,PaLM 2 Bison,GPT 3.5 Turbo
297,5,82,94,left,GPT 3.5 Turbo (16k),PaLM 2 Bison
298,5,94,80,right,PaLM 2 Bison,GPT 4
299,5,94,32,left,PaLM 2 Bison,Guanaco (13B)
300,5,94,85,left,PaLM 2 Bison,Jurassic 2 Light
301,5,94,86,left,PaLM 2 Bison,Jurassic 2 Mid
302,5,94,87,left,PaLM 2 Bison,Jurassic 2 Ultra
303,5,94,23,left,PaLM 2 Bison,Koala (13B)
304,5,22,94,left,LLaMA 2 SFT v10 (70B),PaLM 2 Bison
305,5,94,16,right,PaLM 2 Bison,LLaMA-2-Chat (13B)
306,5,94,15,right,PaLM 2 Bison,LLaMA-2-Chat (7B)
307,5,93,94,right,Luminous Base Control,PaLM 2 Bison
308,5,88,94,right,Luminous Supreme,PaLM 2 Bison
309,5,28,94,left,MPT-Chat (30B),PaLM 2 Bison
310,5,27,94,right,MPT-Chat (7B),PaLM 2 Bison
311,5,94,96,right,PaLM 2 Bison,Mythalion 13B
312,5,11,94,left,MythoMax-L2 (13B),PaLM 2 Bison
313,5,94,14,left,PaLM 2 Bison,Open-Assistant Pythia SFT-4 (12B)
314,5,13,94,right,Open-Assistant StableLM SFT-7 (7B),PaLM 2 Bison
315,5,7,18,right,Dolly v2 (3B),Code Llama Instruct (7B)
316,5,23,17,right,Koala (13B),LLaMA-2-Chat (70B)
317,5,91,23,right,Luminous Base,Koala (13B)
318,5,23,90,right,Koala (13B),Luminous Extended
319,5,92,23,left,Luminous Extended Control,Koala (13B)
320,5,23,88,left,Koala (13B),Luminous Supreme
321,5,99,23,left,ReMM SLERP L2 13B,Koala (13B)
322,5,99,14,left,ReMM SLERP L2 13B,Open-Assistant Pythia SFT-4 (12B)
323,5,1,23,left,RedPajama-INCITE Chat (3B),Koala (13B)
324,5,14,1,right,Open-Assistant Pythia SFT-4 (12B),RedPajama-INCITE Chat (3B)
325,5,3,23,left,RedPajama-INCITE Chat (7B),Koala (13B)
326,5,3,14,left,RedPajama-INCITE Chat (7B),Open-Assistant Pythia SFT-4 (12B)
327,5,23,75,left,Koala (13B),command
328,5,14,75,right,Open-Assistant Pythia SFT-4 (12B),command
329,5,98,75,left,Weaver 12k,command
330,5,76,23,left,command-light,Koala (13B)
331,5,76,94,right,command-light,PaLM 2 Bison
332,5,76,98,right,command-light,Weaver 12k
333,5,79,23,left,command-nightly,Koala (13B)
334,5,79,14,left,command-nightly,Open-Assistant Pythia SFT-4 (12B)
335,5,79,98,right,command-nightly,Weaver 12k
714,13,98,97,right,Weaver 12k,Airoboros L2 70B
715,13,29,98,left,Alpaca (7B),Weaver 12k
716,13,98,5,right,Weaver 12k,Chronos Hermes (13B)
717,13,98,83,right,Weaver 12k,Claude Instant v1
718,13,98,101,right,Weaver 12k,Claude v1
719,13,100,98,left,Claude v1.2,Weaver 12k
720,13,98,84,right,Weaver 12k,Claude v2
721,13,19,98,right,Code Llama Instruct (13B),Weaver 12k
722,13,20,98,left,Code Llama Instruct (34B),Weaver 12k
723,13,18,98,left,Code Llama Instruct (7B),Weaver 12k
724,13,9,98,left,Dolly v2 (12B),Weaver 12k
725,13,98,7,right,Weaver 12k,Dolly v2 (3B)
726,13,8,98,left,Dolly v2 (7B),Weaver 12k
727,13,31,98,left,Falcon Instruct (40B),Weaver 12k
728,13,30,98,tie,Falcon Instruct (7B),Weaver 12k
729,13,81,98,left,GPT 3.5 Turbo,Weaver 12k
730,13,82,98,left,GPT 3.5 Turbo (16k),Weaver 12k
731,13,98,80,right,Weaver 12k,GPT 4
732,13,4,98,left,GPT-NeoXT-Chat-Base (20B),Weaver 12k
733,13,32,98,left,Guanaco (13B),Weaver 12k
734,13,98,33,right,Weaver 12k,Guanaco (33B)
735,13,98,34,right,Weaver 12k,Guanaco (65B)
736,13,98,85,right,Weaver 12k,Jurassic 2 Light
737,13,98,86,right,Weaver 12k,Jurassic 2 Mid
738,13,87,98,left,Jurassic 2 Ultra,Weaver 12k
739,13,98,23,right,Weaver 12k,Koala (13B)
740,13,22,98,left,LLaMA 2 SFT v10 (70B),Weaver 12k
741,13,98,16,right,Weaver 12k,LLaMA-2-Chat (13B)
742,13,98,17,right,Weaver 12k,LLaMA-2-Chat (70B)
743,13,98,15,right,Weaver 12k,LLaMA-2-Chat (7B)
744,13,91,98,left,Luminous Base,Weaver 12k
745,13,98,93,right,Weaver 12k,Luminous Base Control
746,13,92,98,left,Luminous Extended Control,Weaver 12k
747,13,98,88,tie,Weaver 12k,Luminous Supreme
748,13,89,98,left,Luminous Supreme Control,Weaver 12k
749,13,98,28,right,Weaver 12k,MPT-Chat (30B)
750,13,27,98,left,MPT-Chat (7B),Weaver 12k
751,13,98,96,right,Weaver 12k,Mythalion 13B
752,13,98,11,right,Weaver 12k,MythoMax-L2 (13B)
753,13,14,98,left,Open-Assistant Pythia SFT-4 (12B),Weaver 12k
754,13,13,98,left,Open-Assistant StableLM SFT-7 (7B),Weaver 12k
755,13,94,98,left,PaLM 2 Bison,Weaver 12k
756,13,95,98,left,PaLM 2 Bison (Code Chat),Weaver 12k
757,13,10,98,left,Platypus-2 Instruct (70B),Weaver 12k
758,13,98,2,right,Weaver 12k,Pythia-Chat-Base (7B)
759,13,98,6,right,Weaver 12k,Qwen-Chat (7B)
760,13,98,99,right,Weaver 12k,ReMM SLERP L2 13B
761,13,1,98,right,RedPajama-INCITE Chat (3B),Weaver 12k
762,13,98,3,right,Weaver 12k,RedPajama-INCITE Chat (7B)
763,13,98,12,right,Weaver 12k,StarCoderChat Alpha (16B)
764,13,25,98,left,Vicuna v1.3 (13B),Weaver 12k
765,13,98,24,right,Weaver 12k,Vicuna v1.3 (7B)
766,13,98,26,right,Weaver 12k,Vicuna v1.5 (13B)
767,13,21,98,left,Vicuna-FastChat-T5 (3B),Weaver 12k
768,13,97,90,left,Airoboros L2 70B,Luminous Extended
769,13,29,90,left,Alpaca (7B),Luminous Extended
770,13,5,90,left,Chronos Hermes (13B),Luminous Extended
771,13,83,90,left,Claude Instant v1,Luminous Extended
772,13,101,90,left,Claude v1,Luminous Extended
773,13,100,90,left,Claude v1.2,Luminous Extended
774,13,90,84,right,Luminous Extended,Claude v2
775,13,90,19,right,Luminous Extended,Code Llama Instruct (13B)
776,13,20,90,left,Code Llama Instruct (34B),Luminous Extended
777,13,90,18,right,Luminous Extended,Code Llama Instruct (7B)
778,13,90,9,right,Luminous Extended,Dolly v2 (12B)
779,13,7,90,left,Dolly v2 (3B),Luminous Extended
780,13,8,90,left,Dolly v2 (7B),Luminous Extended
781,13,31,90,left,Falcon Instruct (40B),Luminous Extended
782,13,90,30,right,Luminous Extended,Falcon Instruct (7B)
783,13,81,90,left,GPT 3.5 Turbo,Luminous Extended
784,13,82,90,left,GPT 3.5 Turbo (16k),Luminous Extended
785,13,80,90,left,GPT 4,Luminous Extended
786,13,4,90,left,GPT-NeoXT-Chat-Base (20B),Luminous Extended
787,13,90,32,right,Luminous Extended,Guanaco (13B)
788,13,90,33,right,Luminous Extended,Guanaco (33B)
789,13,90,34,right,Luminous Extended,Guanaco (65B)
790,13,90,85,right,Luminous Extended,Jurassic 2 Light
791,13,90,86,right,Luminous Extended,Jurassic 2 Mid
792,13,90,87,right,Luminous Extended,Jurassic 2 Ultra
793,13,23,90,tie,Koala (13B),Luminous Extended
794,13,90,22,right,Luminous Extended,LLaMA 2 SFT v10 (70B)
795,13,16,90,left,LLaMA-2-Chat (13B),Luminous Extended
796,13,90,17,right,Luminous Extended,LLaMA-2-Chat (70B)
797,13,15,90,left,LLaMA-2-Chat (7B),Luminous Extended
798,13,93,90,tie,Luminous Base Control,Luminous Extended
799,13,91,97,right,Luminous Base,Airoboros L2 70B
800,13,91,29,right,Luminous Base,Alpaca (7B)
801,13,91,5,right,Luminous Base,Chronos Hermes (13B)
802,13,83,91,left,Claude Instant v1,Luminous Base
803,13,91,101,right,Luminous Base,Claude v1
804,13,91,100,right,Luminous Base,Claude v1.2
805,13,84,91,left,Claude v2,Luminous Base
806,13,19,91,right,Code Llama Instruct (13B),Luminous Base
807,13,20,91,right,Code Llama Instruct (34B),Luminous Base
808,13,18,91,left,Code Llama Instruct (7B),Luminous Base
809,13,91,9,right,Luminous Base,Dolly v2 (12B)
810,13,7,91,left,Dolly v2 (3B),Luminous Base
