id,prompt,model_x,model_y,winner,left,right
160,8,31,21,left,Falcon Instruct (40B),Vicuna-FastChat-T5 (3B)
161,8,21,85,right,Vicuna-FastChat-T5 (3B),Jurassic 2 Light
162,8,31,75,left,Falcon Instruct (40B),command
163,8,75,85,left,command,Jurassic 2 Light
164,8,75,98,right,command,Weaver 12k
165,8,31,79,left,Falcon Instruct (40B),command-nightly
166,8,85,79,right,Jurassic 2 Light,command-nightly
167,8,98,79,right,Weaver 12k,command-nightly
168,5,97,23,left,Airoboros L2 70B,Koala (13B)
169,5,23,29,right,Koala (13B),Alpaca (7B)
170,5,9,23,right,Dolly v2 (12B),Koala (13B)
171,5,7,23,right,Dolly v2 (3B),Koala (13B)
172,5,8,23,left,Dolly v2 (7B),Koala (13B)
173,5,23,4,right,Koala (13B),GPT-NeoXT-Chat-Base (20B)
174,5,23,33,right,Koala (13B),Guanaco (33B)
175,5,23,34,right,Koala (13B),Guanaco (65B)
176,5,97,14,left,Airoboros L2 70B,Open-Assistant Pythia SFT-4 (12B)
177,5,14,9,right,Open-Assistant Pythia SFT-4 (12B),Dolly v2 (12B)
178,5,14,7,right,Open-Assistant Pythia SFT-4 (12B),Dolly v2 (3B)
179,5,14,8,right,Open-Assistant Pythia SFT-4 (12B),Dolly v2 (7B)
180,5,4,14,left,GPT-NeoXT-Chat-Base (20B),Open-Assistant Pythia SFT-4 (12B)
181,5,33,14,left,Guanaco (33B),Open-Assistant Pythia SFT-4 (12B)
182,5,34,14,left,Guanaco (65B),Open-Assistant Pythia SFT-4 (12B)
183,5,14,17,right,Open-Assistant Pythia SFT-4 (12B),LLaMA-2-Chat (70B)
184,5,91,14,right,Luminous Base,Open-Assistant Pythia SFT-4 (12B)
185,5,90,14,left,Luminous Extended,Open-Assistant Pythia SFT-4 (12B)
186,5,14,92,right,Open-Assistant Pythia SFT-4 (12B),Luminous Extended Control
187,5,18,97,right,Code Llama Instruct (7B),Airoboros L2 70B
188,5,97,29,left,Airoboros L2 70B,Alpaca (7B)
189,5,5,97,right,Chronos Hermes (13B),Airoboros L2 70B
190,5,97,83,left,Airoboros L2 70B,Claude Instant v1
191,5,101,97,right,Claude v1,Airoboros L2 70B
192,5,97,100,left,Airoboros L2 70B,Claude v1.2
193,5,97,84,left,Airoboros L2 70B,Claude v2
194,5,19,97,right,Code Llama Instruct (13B),Airoboros L2 70B
195,5,20,97,right,Code Llama Instruct (34B),Airoboros L2 70B
196,5,97,31,left,Airoboros L2 70B,Falcon Instruct (40B)
197,5,97,30,left,Airoboros L2 70B,Falcon Instruct (7B)
198,5,97,81,left,Airoboros L2 70B,GPT 3.5 Turbo
199,5,97,82,left,Airoboros L2 70B,GPT 3.5 Turbo (16k)
200,5,80,97,right,GPT 4,Airoboros L2 70B
201,5,97,32,left,Airoboros L2 70B,Guanaco (13B)
202,5,85,97,right,Jurassic 2 Light,Airoboros L2 70B
203,5,86,97,right,Jurassic 2 Mid,Airoboros L2 70B
204,5,87,97,right,Jurassic 2 Ultra,Airoboros L2 70B
205,5,22,97,right,LLaMA 2 SFT v10 (70B),Airoboros L2 70B
206,5,97,16,left,Airoboros L2 70B,LLaMA-2-Chat (13B)
207,5,97,15,left,Airoboros L2 70B,LLaMA-2-Chat (7B)
208,5,97,93,left,Airoboros L2 70B,Luminous Base Control
209,5,89,97,right,Luminous Supreme Control,Airoboros L2 70B
210,5,89,7,left,Luminous Supreme Control,Dolly v2 (3B)
211,5,28,97,right,MPT-Chat (30B),Airoboros L2 70B
212,5,27,97,right,MPT-Chat (7B),Airoboros L2 70B
213,5,96,97,right,Mythalion 13B,Airoboros L2 70B
214,5,11,97,right,MythoMax-L2 (13B),Airoboros L2 70B
215,5,13,97,right,Open-Assistant StableLM SFT-7 (7B),Airoboros L2 70B
216,5,95,97,right,PaLM 2 Bison (Code Chat),Airoboros L2 70B
217,5,94,95,left,PaLM 2 Bison,PaLM 2 Bison (Code Chat)
218,5,97,10,left,Airoboros L2 70B,Platypus-2 Instruct (70B)
219,5,10,94,left,Platypus-2 Instruct (70B),PaLM 2 Bison
220,5,2,97,right,Pythia-Chat-Base (7B),Airoboros L2 70B
221,5,94,2,left,PaLM 2 Bison,Pythia-Chat-Base (7B)
222,5,97,6,left,Airoboros L2 70B,Qwen-Chat (7B)
223,5,6,94,right,Qwen-Chat (7B),PaLM 2 Bison
224,5,12,97,right,StarCoderChat Alpha (16B),Airoboros L2 70B
225,5,94,12,left,PaLM 2 Bison,StarCoderChat Alpha (16B)
226,5,97,25,left,Airoboros L2 70B,Vicuna v1.3 (13B)
227,5,25,94,left,Vicuna v1.3 (13B),PaLM 2 Bison
228,5,97,24,left,Airoboros L2 70B,Vicuna v1.3 (7B)
229,5,24,94,right,Vicuna v1.3 (7B),PaLM 2 Bison
230,5,97,26,left,Airoboros L2 70B,Vicuna v1.5 (13B)
231,5,26,94,right,Vicuna v1.5 (13B),PaLM 2 Bison
232,5,21,97,right,Vicuna-FastChat-T5 (3B),Airoboros L2 70B
233,5,94,21,left,PaLM 2 Bison,Vicuna-FastChat-T5 (3B)
234,5,98,29,left,Weaver 12k,Alpaca (7B)
235,5,98,5,left,Weaver 12k,Chronos Hermes (13B)
236,5,98,83,right,Weaver 12k,Claude Instant v1
237,5,98,101,right,Weaver 12k,Claude v1
238,5,100,98,left,Claude v1.2,Weaver 12k
239,5,84,98,left,Claude v2,Weaver 12k
240,5,19,98,right,Code Llama Instruct (13B),Weaver 12k
241,5,98,20,left,Weaver 12k,Code Llama Instruct (34B)
242,5,18,98,right,Code Llama Instruct (7B),Weaver 12k
243,5,9,98,right,Dolly v2 (12B),Weaver 12k
244,5,8,98,right,Dolly v2 (7B),Weaver 12k
245,5,31,98,right,Falcon Instruct (40B),Weaver 12k
246,5,98,30,left,Weaver 12k,Falcon Instruct (7B)
247,5,98,81,right,Weaver 12k,GPT 3.5 Turbo
248,5,82,98,left,GPT 3.5 Turbo (16k),Weaver 12k
249,5,80,98,left,GPT 4,Weaver 12k
250,5,98,4,left,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
251,5,98,32,left,Weaver 12k,Guanaco (13B)
252,5,98,33,left,Weaver 12k,Guanaco (33B)
253,5,34,98,left,Guanaco (65B),Weaver 12k
254,5,85,98,right,Jurassic 2 Light,Weaver 12k
255,5,86,98,right,Jurassic 2 Mid,Weaver 12k
256,5,87,98,right,Jurassic 2 Ultra,Weaver 12k
257,5,98,23,left,Weaver 12k,Koala (13B)
258,5,22,98,right,LLaMA 2 SFT v10 (70B),Weaver 12k
259,5,98,16,left,Weaver 12k,LLaMA-2-Chat (13B)
260,5,98,17,right,Weaver 12k,LLaMA-2-Chat (70B)
261,5,15,98,left,LLaMA-2-Chat (7B),Weaver 12k
262,5,98,91,left,Weaver 12k,Luminous Base
263,5,98,93,left,Weaver 12k,Luminous Base Control
264,5,90,98,right,Luminous Extended,Weaver 12k
265,5,92,98,right,Luminous Extended Control,Weaver 12k
266,5,88,98,right,Luminous Supreme,Weaver 12k
267,5,98,89,left,Weaver 12k,Luminous Supreme Control
268,5,28,98,left,MPT-Chat (30B),Weaver 12k
269,5,98,27,left,Weaver 12k,MPT-Chat (7B)
270,5,96,98,left,Mythalion 13B,Weaver 12k
271,5,98,11,left,Weaver 12k,MythoMax-L2 (13B)
272,5,98,14,left,Weaver 12k,Open-Assistant Pythia SFT-4 (12B)
273,5,13,98,right,Open-Assistant StableLM SFT-7 (7B),Weaver 12k
274,5,98,95,left,Weaver 12k,PaLM 2 Bison (Code Chat)
275,5,98,10,left,Weaver 12k,Platypus-2 Instruct (70B)
276,5,2,98,right,Pythia-Chat-Base (7B),Weaver 12k
277,5,6,98,right,Qwen-Chat (7B),Weaver 12k
278,5,99,98,left,ReMM SLERP L2 13B,Weaver 12k
279,5,1,98,right,RedPajama-INCITE Chat (3B),Weaver 12k
280,5,3,98,right,RedPajama-INCITE Chat (7B),Weaver 12k
281,5,98,12,left,Weaver 12k,StarCoderChat Alpha (16B)
282,5,98,25,left,Weaver 12k,Vicuna v1.3 (13B)
283,5,24,98,right,Vicuna v1.3 (7B),Weaver 12k
284,5,26,98,right,Vicuna v1.5 (13B),Weaver 12k
285,5,21,98,right,Vicuna-FastChat-T5 (3B),Weaver 12k
286,5,5,94,right,Chronos Hermes (13B),PaLM 2 Bison
287,5,94,83,right,PaLM 2 Bison,Claude Instant v1
288,5,101,94,left,Claude v1,PaLM 2 Bison
289,5,94,100,right,PaLM 2 Bison,Claude v1.2
290,5,84,94,left,Claude v2,PaLM 2 Bison
291,5,19,94,right,Code Llama Instruct (13B),PaLM 2 Bison
292,5,94,20,left,PaLM 2 Bison,Code Llama Instruct (34B)
293,5,18,94,right,Code Llama Instruct (7B),PaLM 2 Bison
294,5,31,94,right,Falcon Instruct (40B),PaLM 2 Bison
295,5,94,30,left,PaLM 2 Bison,Falcon Instruct (7B)
296,5,94,81,right,PaLM 2 Bison,GPT 3.5 Turbo
297,5,82,94,left,GPT 3.5 Turbo (16k),PaLM 2 Bison
298,5,94,80,right,PaLM 2 Bison,GPT 4
299,5,94,32,left,PaLM 2 Bison,Guanaco (13B)
300,5,94,85,left,PaLM 2 Bison,Jurassic 2 Light
301,5,94,86,left,PaLM 2 Bison,Jurassic 2 Mid
302,5,94,87,left,PaLM 2 Bison,Jurassic 2 Ultra
303,5,94,23,left,PaLM 2 Bison,Koala (13B)
304,5,22,94,left,LLaMA 2 SFT v10 (70B),PaLM 2 Bison
305,5,94,16,right,PaLM 2 Bison,LLaMA-2-Chat (13B)
306,5,94,15,right,PaLM 2 Bison,LLaMA-2-Chat (7B)
307,5,93,94,right,Luminous Base Control,PaLM 2 Bison
308,5,88,94,right,Luminous Supreme,PaLM 2 Bison
309,5,28,94,left,MPT-Chat (30B),PaLM 2 Bison
310,5,27,94,right,MPT-Chat (7B),PaLM 2 Bison
311,5,94,96,right,PaLM 2 Bison,Mythalion 13B
312,5,11,94,left,MythoMax-L2 (13B),PaLM 2 Bison
313,5,94,14,left,PaLM 2 Bison,Open-Assistant Pythia SFT-4 (12B)
314,5,13,94,right,Open-Assistant StableLM SFT-7 (7B),PaLM 2 Bison
315,5,7,18,right,Dolly v2 (3B),Code Llama Instruct (7B)
316,5,23,17,right,Koala (13B),LLaMA-2-Chat (70B)
317,5,91,23,right,Luminous Base,Koala (13B)
318,5,23,90,right,Koala (13B),Luminous Extended
319,5,92,23,left,Luminous Extended Control,Koala (13B)
320,5,23,88,left,Koala (13B),Luminous Supreme
321,5,99,23,left,ReMM SLERP L2 13B,Koala (13B)
322,5,99,14,left,ReMM SLERP L2 13B,Open-Assistant Pythia SFT-4 (12B)
323,5,1,23,left,RedPajama-INCITE Chat (3B),Koala (13B)
324,5,14,1,right,Open-Assistant Pythia SFT-4 (12B),RedPajama-INCITE Chat (3B)
325,5,3,23,left,RedPajama-INCITE Chat (7B),Koala (13B)
326,5,3,14,left,RedPajama-INCITE Chat (7B),Open-Assistant Pythia SFT-4 (12B)
327,5,23,75,left,Koala (13B),command
328,5,14,75,right,Open-Assistant Pythia SFT-4 (12B),command
329,5,98,75,left,Weaver 12k,command
330,5,76,23,left,command-light,Koala (13B)
331,5,76,94,right,command-light,PaLM 2 Bison
332,5,76,98,right,command-light,Weaver 12k
333,5,79,23,left,command-nightly,Koala (13B)
334,5,79,14,left,command-nightly,Open-Assistant Pythia SFT-4 (12B)
335,5,79,98,right,command-nightly,Weaver 12k
336,18,97,98,right,Airoboros L2 70B,Weaver 12k
337,18,29,98,right,Alpaca (7B),Weaver 12k
338,18,5,98,right,Chronos Hermes (13B),Weaver 12k
339,18,98,83,right,Weaver 12k,Claude Instant v1
340,18,98,101,right,Weaver 12k,Claude v1
341,18,100,98,left,Claude v1.2,Weaver 12k
342,18,98,84,right,Weaver 12k,Claude v2
343,18,68,98,right,Code Llama (13B),Weaver 12k
344,18,69,98,right,Code Llama (34B),Weaver 12k
345,18,67,98,right,Code Llama (7B),Weaver 12k
346,18,19,98,left,Code Llama Instruct (13B),Weaver 12k
347,18,20,98,right,Code Llama Instruct (34B),Weaver 12k
348,18,18,98,right,Code Llama Instruct (7B),Weaver 12k
349,18,98,71,left,Weaver 12k,Code Llama Python (13B)
350,18,98,72,left,Weaver 12k,Code Llama Python (34B)
351,18,98,70,left,Weaver 12k,Code Llama Python (7B)
352,18,66,98,right,CodeGen2 (16B),Weaver 12k
353,18,65,98,right,CodeGen2 (7B),Weaver 12k
354,18,9,98,right,Dolly v2 (12B),Weaver 12k
355,18,98,7,left,Weaver 12k,Dolly v2 (3B)
356,18,98,8,left,Weaver 12k,Dolly v2 (7B)
357,18,31,98,right,Falcon Instruct (40B),Weaver 12k
358,18,98,30,left,Weaver 12k,Falcon Instruct (7B)
359,18,81,98,left,GPT 3.5 Turbo,Weaver 12k
360,18,82,98,left,GPT 3.5 Turbo (16k),Weaver 12k
361,18,80,98,left,GPT 4,Weaver 12k
362,18,98,4,left,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
363,18,98,32,left,Weaver 12k,Guanaco (13B)
364,18,98,85,left,Weaver 12k,Jurassic 2 Light
365,18,98,86,left,Weaver 12k,Jurassic 2 Mid
366,18,98,87,left,Weaver 12k,Jurassic 2 Ultra
367,18,98,15,left,Weaver 12k,LLaMA-2-Chat (7B)
368,18,98,89,left,Weaver 12k,Luminous Supreme Control
369,18,28,98,left,MPT-Chat (30B),Weaver 12k
370,18,98,27,left,Weaver 12k,MPT-Chat (7B)
371,18,11,98,left,MythoMax-L2 (13B),Weaver 12k
372,18,73,98,right,NSQL LLaMA-2 (7B),Weaver 12k
373,18,98,94,right,Weaver 12k,PaLM 2 Bison
374,18,98,95,right,Weaver 12k,PaLM 2 Bison (Code Chat)
375,18,10,98,left,Platypus-2 Instruct (70B),Weaver 12k
376,18,2,98,right,Pythia-Chat-Base (7B),Weaver 12k
377,18,6,98,right,Qwen-Chat (7B),Weaver 12k
378,18,98,99,left,Weaver 12k,ReMM SLERP L2 13B
379,18,98,3,left,Weaver 12k,RedPajama-INCITE Chat (7B)
380,18,98,64,left,Weaver 12k,StarCoder (16B)
381,18,25,98,right,Vicuna v1.3 (13B),Weaver 12k
382,18,98,24,left,Weaver 12k,Vicuna v1.3 (7B)
383,18,26,98,right,Vicuna v1.5 (13B),Weaver 12k
384,18,21,98,right,Vicuna-FastChat-T5 (3B),Weaver 12k
385,18,97,12,right,Airoboros L2 70B,StarCoderChat Alpha (16B)
386,18,29,12,right,Alpaca (7B),StarCoderChat Alpha (16B)
387,18,12,5,left,StarCoderChat Alpha (16B),Chronos Hermes (13B)
388,18,12,83,right,StarCoderChat Alpha (16B),Claude Instant v1
389,18,12,101,left,StarCoderChat Alpha (16B),Claude v1
390,18,12,68,left,StarCoderChat Alpha (16B),Code Llama (13B)
391,18,69,12,right,Code Llama (34B),StarCoderChat Alpha (16B)
392,18,67,12,right,Code Llama (7B),StarCoderChat Alpha (16B)
393,18,19,12,left,Code Llama Instruct (13B),StarCoderChat Alpha (16B)
394,18,12,20,left,StarCoderChat Alpha (16B),Code Llama Instruct (34B)
395,18,18,12,left,Code Llama Instruct (7B),StarCoderChat Alpha (16B)
396,18,71,12,right,Code Llama Python (13B),StarCoderChat Alpha (16B)
397,18,72,12,right,Code Llama Python (34B),StarCoderChat Alpha (16B)
398,18,70,12,right,Code Llama Python (7B),StarCoderChat Alpha (16B)
399,18,66,12,right,CodeGen2 (16B),StarCoderChat Alpha (16B)
400,18,65,12,right,CodeGen2 (7B),StarCoderChat Alpha (16B)
401,18,12,9,left,StarCoderChat Alpha (16B),Dolly v2 (12B)
402,18,12,7,left,StarCoderChat Alpha (16B),Dolly v2 (3B)
403,18,12,8,left,StarCoderChat Alpha (16B),Dolly v2 (7B)
404,18,12,31,left,StarCoderChat Alpha (16B),Falcon Instruct (40B)
405,18,81,12,left,GPT 3.5 Turbo,StarCoderChat Alpha (16B)
406,18,82,12,left,GPT 3.5 Turbo (16k),StarCoderChat Alpha (16B)
407,18,12,80,tie,StarCoderChat Alpha (16B),GPT 4
408,18,12,4,left,StarCoderChat Alpha (16B),GPT-NeoXT-Chat-Base (20B)
409,18,32,12,right,Guanaco (13B),StarCoderChat Alpha (16B)
410,18,85,12,right,Jurassic 2 Light,StarCoderChat Alpha (16B)
411,18,12,86,left,StarCoderChat Alpha (16B),Jurassic 2 Mid
412,18,87,12,right,Jurassic 2 Ultra,StarCoderChat Alpha (16B)
413,18,12,15,left,StarCoderChat Alpha (16B),LLaMA-2-Chat (7B)
414,18,12,89,left,StarCoderChat Alpha (16B),Luminous Supreme Control
415,18,27,12,right,MPT-Chat (7B),StarCoderChat Alpha (16B)
416,18,11,12,left,MythoMax-L2 (13B),StarCoderChat Alpha (16B)
417,18,12,73,left,StarCoderChat Alpha (16B),NSQL LLaMA-2 (7B)
418,18,94,12,left,PaLM 2 Bison,StarCoderChat Alpha (16B)
419,18,95,12,left,PaLM 2 Bison (Code Chat),StarCoderChat Alpha (16B)
420,18,10,12,right,Platypus-2 Instruct (70B),StarCoderChat Alpha (16B)
421,18,12,2,left,StarCoderChat Alpha (16B),Pythia-Chat-Base (7B)
422,18,12,6,left,StarCoderChat Alpha (16B),Qwen-Chat (7B)
